plate,well,runtime,measure,run,measures_pp
S1L1,A01,166459,0.65,saved-2019-08-27_SR1_results,0.5680000000000001
S1L1,A01,167360,0.65,saved-2019-08-27_SR1_results,0.5680000000000001
S1L1,A01,168261,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,169162,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,170062,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,170963,0.653,saved-2019-08-27_SR1_results,0.5710000000000001
S1L1,A01,171864,0.655,saved-2019-08-27_SR1_results,0.5730000000000001
S1L1,A02,0,0.092,saved-2019-08-27_SR1_results,0
S1L1,A02,861,0.093,saved-2019-08-27_SR1_results,0.0010000000000000009
S1L1,A02,1761,0.094,saved-2019-08-27_SR1_results,0.0020000000000000018
S1L1,A02,2662,0.096,saved-2019-08-27_SR1_results,0.0040000000000000036
S1L1,A02,3563,0.098,saved-2019-08-27_SR1_results,0.006000000000000005
S1L1,A02,4464,0.1,saved-2019-08-27_SR1_results,0.008000000000000007
S1L1,A02,5364,0.103,saved-2019-08-27_SR1_results,0.010999999999999996
S1L1,A02,6265,0.105,saved-2019-08-27_SR1_results,0.012999999999999998
S1L1,A02,7166,0.108,saved-2019-08-27_SR1_results,0.016
S1L1,A02,8067,0.111,saved-2019-08-27_SR1_results,0.019000000000000003
S1L1,A02,8957,0.113,saved-2019-08-27_SR1_results,0.021000000000000005
S1L1,A02,9858,0.116,saved-2019-08-27_SR1_results,0.024000000000000007
S1L1,A02,10759,0.12,saved-2019-08-27_SR1_results,0.027999999999999997
S1L1,A02,11660,0.123,saved-2019-08-27_SR1_results,0.031
S1L1,A02,12560,0.127,saved-2019-08-27_SR1_results,0.035
S1L1,A02,13461,0.135,saved-2019-08-27_SR1_results,0.04300000000000001
S1L1,A02,14362,0.15,saved-2019-08-27_SR1_results,0.057999999999999996
S1L1,A02,15263,0.198,saved-2019-08-27_SR1_results,0.10600000000000001
S1L1,A02,16163,0.252,saved-2019-08-27_SR1_results,0.16
S1L1,A02,17064,0.323,saved-2019-08-27_SR1_results,0.231
S1L1,A02,17965,0.366,saved-2019-08-27_SR1_results,0.274
S1L1,A02,18866,0.441,saved-2019-08-27_SR1_results,0.349
S1L1,A02,19766,0.49,saved-2019-08-27_SR1_results,0.398
S1L1,A02,20657,0.547,saved-2019-08-27_SR1_results,0.45500000000000007
S1L1,A02,21558,0.306,saved-2019-08-27_SR1_results,0.214
S1L1,A02,22459,0.219,saved-2019-08-27_SR1_results,0.127
S1L1,A02,23359,0.222,saved-2019-08-27_SR1_results,0.13
S1L1,A02,24260,0.233,saved-2019-08-27_SR1_results,0.14100000000000001
S1L1,A02,25161,0.251,saved-2019-08-27_SR1_results,0.159
S1L1,A02,26062,0.274,saved-2019-08-27_SR1_results,0.18200000000000002
S1L1,A02,26962,0.315,saved-2019-08-27_SR1_results,0.223
S1L1,A02,27863,0.343,saved-2019-08-27_SR1_results,0.251
S1L1,A02,28764,0.378,saved-2019-08-27_SR1_results,0.28600000000000003
S1L1,A02,29665,0.416,saved-2019-08-27_SR1_results,0.32399999999999995
S1L1,A02,30565,0.456,saved-2019-08-27_SR1_results,0.364
S1L1,A02,31466,0.491,saved-2019-08-27_SR1_results,0.399
S1L1,A02,32357,0.522,saved-2019-08-27_SR1_results,0.43000000000000005
S1L1,A02,33258,0.551,saved-2019-08-27_SR1_results,0.4590000000000001
S1L1,A02,34158,0.567,saved-2019-08-27_SR1_results,0.475
S1L1,A02,35059,0.602,saved-2019-08-27_SR1_results,0.51
S1L1,A02,35960,0.635,saved-2019-08-27_SR1_results,0.543
S1L1,A02,36861,0.661,saved-2019-08-27_SR1_results,0.5690000000000001
S1L1,A02,37762,0.686,saved-2019-08-27_SR1_results,0.5940000000000001
S1L1,A02,38662,0.712,saved-2019-08-27_SR1_results,0.62
S1L1,A02,39563,0.733,saved-2019-08-27_SR1_results,0.641
S1L1,A02,40464,0.754,saved-2019-08-27_SR1_results,0.662
S1L1,A02,41365,0.766,saved-2019-08-27_SR1_results,0.674
S1L1,A02,42265,0.76,saved-2019-08-27_SR1_results,0.668
S1L1,A02,43166,0.754,saved-2019-08-27_SR1_results,0.662
S1L1,A02,44067,0.751,saved-2019-08-27_SR1_results,0.659
S1L1,A02,44958,0.749,saved-2019-08-27_SR1_results,0.657
S1L1,A02,45858,0.746,saved-2019-08-27_SR1_results,0.654
S1L1,A02,46759,0.74,saved-2019-08-27_SR1_results,0.648
S1L1,A02,47660,0.738,saved-2019-08-27_SR1_results,0.646
S1L1,A02,48561,0.736,saved-2019-08-27_SR1_results,0.644
S1L1,A02,49461,0.732,saved-2019-08-27_SR1_results,0.64
S1L1,A02,50362,0.733,saved-2019-08-27_SR1_results,0.641
S1L1,A02,51263,0.732,saved-2019-08-27_SR1_results,0.64
S1L1,A02,52164,0.731,saved-2019-08-27_SR1_results,0.639
S1L1,A02,53064,0.727,saved-2019-08-27_SR1_results,0.635
S1L1,A02,53965,0.725,saved-2019-08-27_SR1_results,0.633
S1L1,A02,54866,0.726,saved-2019-08-27_SR1_results,0.634
S1L1,A02,55767,0.723,saved-2019-08-27_SR1_results,0.631
S1L1,A02,56657,0.722,saved-2019-08-27_SR1_results,0.63
S1L1,A02,57558,0.722,saved-2019-08-27_SR1_results,0.63
S1L1,A02,58459,0.722,saved-2019-08-27_SR1_results,0.63
S1L1,A02,59360,0.72,saved-2019-08-27_SR1_results,0.628
S1L1,A02,60260,0.719,saved-2019-08-27_SR1_results,0.627
S1L1,A02,61161,0.72,saved-2019-08-27_SR1_results,0.628
S1L1,A02,62062,0.716,saved-2019-08-27_SR1_results,0.624
S1L1,A02,62963,0.717,saved-2019-08-27_SR1_results,0.625
S1L1,A02,63863,0.716,saved-2019-08-27_SR1_results,0.624
S1L1,A02,64764,0.714,saved-2019-08-27_SR1_results,0.622
S1L1,A02,65665,0.717,saved-2019-08-27_SR1_results,0.625
S1L1,A02,66566,0.715,saved-2019-08-27_SR1_results,0.623
S1L1,A02,67466,0.715,saved-2019-08-27_SR1_results,0.623
S1L1,A02,68357,0.714,saved-2019-08-27_SR1_results,0.622
S1L1,A02,69258,0.715,saved-2019-08-27_SR1_results,0.623
S1L1,A02,70159,0.713,saved-2019-08-27_SR1_results,0.621
S1L1,A02,71059,0.711,saved-2019-08-27_SR1_results,0.619
S1L1,A02,71960,0.713,saved-2019-08-27_SR1_results,0.621
S1L1,A02,72861,0.713,saved-2019-08-27_SR1_results,0.621
S1L1,A02,73762,0.713,saved-2019-08-27_SR1_results,0.621
S1L1,A02,74662,0.71,saved-2019-08-27_SR1_results,0.618
S1L1,A02,75563,0.71,saved-2019-08-27_SR1_results,0.618
S1L1,A02,76464,0.709,saved-2019-08-27_SR1_results,0.617
S1L1,A02,77365,0.71,saved-2019-08-27_SR1_results,0.618
S1L1,A02,78265,0.71,saved-2019-08-27_SR1_results,0.618
S1L1,A02,79166,0.71,saved-2019-08-27_SR1_results,0.618
S1L1,A02,80057,0.709,saved-2019-08-27_SR1_results,0.617
S1L1,A02,80958,0.71,saved-2019-08-27_SR1_results,0.618
S1L1,A02,81858,0.708,saved-2019-08-27_SR1_results,0.616
S1L1,A02,82759,0.707,saved-2019-08-27_SR1_results,0.615
S1L1,A02,83660,0.711,saved-2019-08-27_SR1_results,0.619
S1L1,A02,84561,0.707,saved-2019-08-27_SR1_results,0.615
S1L1,A02,85462,0.706,saved-2019-08-27_SR1_results,0.614
S1L1,A02,86362,0.707,saved-2019-08-27_SR1_results,0.615
S1L1,A02,87263,0.706,saved-2019-08-27_SR1_results,0.614
S1L1,A02,88164,0.707,saved-2019-08-27_SR1_results,0.615
S1L1,A02,89065,0.706,saved-2019-08-27_SR1_results,0.614
S1L1,A02,89965,0.705,saved-2019-08-27_SR1_results,0.613
S1L1,A02,90866,0.704,saved-2019-08-27_SR1_results,0.612
S1L1,A02,91767,0.704,saved-2019-08-27_SR1_results,0.612
S1L1,A02,92658,0.702,saved-2019-08-27_SR1_results,0.61
S1L1,A02,93558,0.706,saved-2019-08-27_SR1_results,0.614
S1L1,A02,94459,0.704,saved-2019-08-27_SR1_results,0.612
S1L1,A02,95360,0.703,saved-2019-08-27_SR1_results,0.611
S1L1,A02,96261,0.705,saved-2019-08-27_SR1_results,0.613
S1L1,A02,97161,0.703,saved-2019-08-27_SR1_results,0.611
S1L1,A02,98062,0.704,saved-2019-08-27_SR1_results,0.612
S1L1,A02,98963,0.702,saved-2019-08-27_SR1_results,0.61
S1L1,A02,99864,0.703,saved-2019-08-27_SR1_results,0.611
S1L1,A02,100764,0.701,saved-2019-08-27_SR1_results,0.609
S1L1,A02,101665,0.702,saved-2019-08-27_SR1_results,0.61
S1L1,A02,102566,0.701,saved-2019-08-27_SR1_results,0.609
S1L1,A02,103467,0.701,saved-2019-08-27_SR1_results,0.609
S1L1,A02,104357,0.7,saved-2019-08-27_SR1_results,0.608
S1L1,A02,105258,0.701,saved-2019-08-27_SR1_results,0.609
S1L1,A02,106159,0.7,saved-2019-08-27_SR1_results,0.608
S1L1,A02,107060,0.699,saved-2019-08-27_SR1_results,0.607
S1L1,A02,107960,0.698,saved-2019-08-27_SR1_results,0.606
S1L1,A02,108861,0.7,saved-2019-08-27_SR1_results,0.608
S1L1,A02,109762,0.7,saved-2019-08-27_SR1_results,0.608
S1L1,A02,110663,0.7,saved-2019-08-27_SR1_results,0.608
S1L1,A02,111563,0.7,saved-2019-08-27_SR1_results,0.608
S1L1,A02,112464,0.698,saved-2019-08-27_SR1_results,0.606
S1L1,A02,113365,0.698,saved-2019-08-27_SR1_results,0.606
S1L1,A02,114266,0.698,saved-2019-08-27_SR1_results,0.606
S1L1,A02,115166,0.698,saved-2019-08-27_SR1_results,0.606
S1L1,A02,116057,0.698,saved-2019-08-27_SR1_results,0.606
S1L1,A02,116958,0.698,saved-2019-08-27_SR1_results,0.606
S1L1,A02,117859,0.698,saved-2019-08-27_SR1_results,0.606
S1L1,A02,118759,0.699,saved-2019-08-27_SR1_results,0.607
S1L1,A02,119660,0.697,saved-2019-08-27_SR1_results,0.605
S1L1,A02,120561,0.698,saved-2019-08-27_SR1_results,0.606
S1L1,A02,121462,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,122362,0.698,saved-2019-08-27_SR1_results,0.606
S1L1,A02,123263,0.697,saved-2019-08-27_SR1_results,0.605
S1L1,A02,124164,0.697,saved-2019-08-27_SR1_results,0.605
S1L1,A02,125065,0.697,saved-2019-08-27_SR1_results,0.605
S1L1,A02,125965,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,126866,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,127757,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,128658,0.693,saved-2019-08-27_SR1_results,0.601
S1L1,A02,129558,0.697,saved-2019-08-27_SR1_results,0.605
S1L1,A02,130459,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,131360,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,132261,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,133162,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,134062,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,134963,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,135864,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,136765,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,137665,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,138566,0.697,saved-2019-08-27_SR1_results,0.605
S1L1,A02,139467,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,140358,0.694,saved-2019-08-27_SR1_results,0.602
S1L1,A02,141258,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,142159,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,143060,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,143961,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,144861,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,145762,0.698,saved-2019-08-27_SR1_results,0.606
S1L1,A02,146663,0.693,saved-2019-08-27_SR1_results,0.601
S1L1,A02,147564,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,148464,0.693,saved-2019-08-27_SR1_results,0.601
S1L1,A02,149365,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,150266,0.694,saved-2019-08-27_SR1_results,0.602
S1L1,A02,151167,0.694,saved-2019-08-27_SR1_results,0.602
S1L1,A02,152057,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,152958,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,153859,0.697,saved-2019-08-27_SR1_results,0.605
S1L1,A02,154760,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,155660,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,156561,0.697,saved-2019-08-27_SR1_results,0.605
S1L1,A02,157462,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,158363,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,159263,0.695,saved-2019-08-27_SR1_results,0.603
S1L1,A02,160164,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,161065,0.696,saved-2019-08-27_SR1_results,0.604
S1L1,A02,161966,0.694,saved-2019-08-27_SR1_results,0.602
